LOC,Business,Phone,Address,Town,Website,Instagram,Facebook,Category,SuperCat,DL Info,HDL?,Shoppers Discount,Exp.,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44T,Seven Brothers Gourmet Food Market,516-678-5999,2831 Long Beach Rd.,Oceanside,SevenBrothersGourmet.com,instagram.com/sevenbrothersoceanside,facebook.com/sevenbrothersgourmet,Shop & Discover,Shop & Discover,"Let us show you what we do best, by catering your next affair! Whether it be a formal occasion or a backyard barbecue…..sit back, relax and enjoy!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45T,The H Academy,516-632-2328,3161 Royal Ave.,Oceanside,TheHAcademy.org,,,Learn & Play,Learn & Play,"A preschool for 3- and 4-year-olds. We ensure every Academy student achieves their own personal best through a well-rounded foundation - academically, emotionally, socially, and physically.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46T,Oceanside Mason Supply,516-779-0363,7 Hampton Rd.,Oceanside,instagram.com/oceansidemasonsupply,,,Shop & Discover,Shop & Discover,For all of your masonry material needs in the Oceanside area!,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47D,Point Set Tennis,516-536-2323,3065 New St.,Oceanside,PointSetTennis.com,,,Learn & Play,Learn & Play,"All ages & levels welcome! Junior Academy, in-house & USTA leagues, group & private lessons, court time. LI's premier facility!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48D,Sunset Play Cafe,516-206-0906,2848 Long Beach Rd.,Oceanside,SunsetPlayCafe.com,instagram.com/sunsetplaycafe,,Learn & Play,Learn & Play,"Sunset Play Cafe is a vibrant indoor playground and café offering exciting birthday packages, fun workshops, and open play where children thrive while parents relax and connect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49D,Merc's Automotive,516-764-2053,2790 Woods Ave.,Oceanside,,,,Live & Work,Live & Work,Professional repairs and diagnostics!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50T,Old Spirit Distillery,516-536-0301,3670-6 Oceanside Rd. W.,Oceanside,OldSpiritDistillery.com,,,Eat & Drink,Eat & Drink,"Nassau County’s first and only distillery. Founded in 2017, we produce vodka, bourbon, brandy and moonshine. Organic and kosher certified, using corn from NY state farms.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51T,Alfredo Custom Clothier,516-536-1900,2904 Lincoln Ave.,Oceanside,instagram.com/alfredocustomclothier,instagram.com/alfredocustomclothier,,Shop & Discover,Shop & Discover,"Leisure, business, or ceremony, Alfredo continues to meet the requirements of the gentleman with a dynamic and sophisticated lifestyle. Offering custom clothing, formal attire, and a nice line of casual clothing and jeans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52D,The Ark of Salvation,516-255-9131,3161 Royal Ave.,Oceanside,ArkOfSalvation.org,,,Gather & Connect,Gather & Connect,"Our church exists to love God, grow together, and reach others. Nuestra iglesia existe para amar a Dios, crecer juntos y alcanzar a otros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53T,Bell’s Brooklyn Bagels & Bialys,718-272-2780,3333 Royal Ave.,Oceanside,Bialy.com,,,Eat & Drink,Eat & Drink,"Bell’s Brooklyn Bagels & Bialys is a third-generation family bakery, proudly crafting authentic New York bagels and bialys, wholesaling to the public fresh from Oceanside.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54T,Diamond Discount Beauty Supply,516-594-1839,2937 Long Beach Rd.,Oceanside,,,,Shop & Discover,Shop & Discover,"Beauty Supply Discounted! Wholesale, retail. Professional, courteous help in: haircare, nailcare, cosmetics, fragrances, salon supplies, electrical appliances, hair removal, hair additions, hair accessories, costume jewelry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55D,Tocci Family Chiropractic & Holistic Lifestyle Center,516-766-1717 x4,3089 Lawson Blvd.,Oceanside,TocciFamilyChiro.com,,,Thrive & Be Well,Thrive & Be Well,"Tocci Family Chiropractic & Holistic Lifestyle Center blends expert chiropractic care with holistic therapies, guiding families to optimal health through personalized care plans and wellness-focused education.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56S,Snider's Formal Wear,516-442-2828,2898 Long Beach Rd.,Oceanside,SnidersFormalWear.net,,,Shop & Discover,Shop & Discover,"Complete quality & low cost tuxedo rental, in business since 1908. Offering the finest Suits and Accessories in the tri-state area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57D,Living Legends Memorabilia and Collectibles,516-826-4000,124 S. Long Beach Rd.,Rockville Centre,LivingLegendsNY.com,,,Shop & Discover,Shop & Discover,"For aficionados of sports, memorabilia, and collectibles, and others looking for gifts for collectors, we've got you covered. Available to conduct charity auctions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58D,Sons of a Butcher,516-764-4589,13 1/2 Brower Ave.,Oceanside,instagram.com/sonsofabutcher,,,Shop & Discover,Shop & Discover,"Full scale butcher offering USDA Prime Beef, Wagyu Beef, Dry Beef, and Prepared Meals. Voted #1 butcher shop in 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59T,Barry & Florence Friedberg  Jewish Community Center,516-766-4341,15 Neil Ct.,Oceanside,FriedbergJCC.org,,,Gather & Connect,Gather & Connect,We provide programs and services in a warm and caring environment for all people in every stage of life – we invite you to join us!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60D,Lucas II: The Dominican Spot,516-208-7295,3115 Long Beach Rd.,Oceanside,Lucas2Oceanside.com,,,Eat & Drink,Eat & Drink,Please come in and enjoy the best flavors of the Caribbean in the Island. Don't miss our tastiest dishes and ambience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61D,A1 HR Towing & Transport Inc.,516-216-0121,9 Neil Ct.,Oceanside,HRTowingAndAutobody.com,,facebook.com/hrtowingandtransport,Live & Work,Live & Work,Emergencies | collisions | junk car removal | low clearance | heavy duty | winch service | private property | blocked driveways | auto body & repairs | 24hr roadside assistance | parkway authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62T,FRAMEBAR.CO,516-888-1038,2894 Long Beach Rd.,Oceanside,FrameBar.co,,,Thrive & Be Well,Thrive & Be Well,"Thank you for 200+ 5-star reviews! FrameBar provides comprehensive exams, advanced optical technology, expert frame styling, accepts most insurances, and offers doctor services six days weekly.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63S,Pilates By The Ocean,516-807-4054,3000 Long Beach Rd. Suite 13,Oceanside,instagram.com/pilatesbytheocean,,,Thrive & Be Well,Thrive & Be Well,"Boutique classical Pilates studio offering personalized one-on-one sessions tailored to each body’s needs. Fully equipped with a reformer, Cadillac and other Pilates apparatus . Led by a passionate teacher with 20 years’ experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64D,Metro Physical Therapy & Aquatics By The Sea,516-766-0505,11 Neil Ct.,Oceanside,PhysicalTherapyAndAquatics.com,,,Thrive & Be Well,Thrive & Be Well,Providing the very best physical therapy care to Oceanside and the surrounding area since 2005. All insurances accepted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65T,High Velocity Collision,516-678-4484,3365 Riverside Dr.,Oceanside,HighVelocityCollision.com,,,Live & Work,Live & Work,"Your trusted full-service auto collision & body repair shop. From structural repairs and paintwork to alignments and dent removal, we bring experience, professionalism, and attention to detail to every job.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66T,Fuhrman's Carpet and Floors,516-678-3111,2415 S. Long Beach Rd.,Oceanside,FuhrmansFloors.com,,,Shop & Discover,Shop & Discover,"New Location! Oceanside's trusted name for quality and service since 1929. Carpet, luxury vinyl, hardwood floors, laminates, area rugs, stair runners, wallpaper, fabric, window treatments. Expert wood floor refinishing. Residential / commercial.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67T,Quattro Amici Wine,516-883-4757,3670 W. Oceanside Rd. #2,Oceanside,QuattroAmiciWine.com,,,Eat & Drink,Eat & Drink,"Small batch winery crafting unique blends from the finest grapes, sourced locally and abroad that honor tradition and friendship from vine to glass",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68S,Mario's Pizzeria,516-536-5460,2822 Brower Ave.,Oceanside,MariosPizzeriaOceanside.replit.app,,,Eat & Drink,Eat & Drink,"A cornerstone of the Oceanside community since 1982. For over 40 years, we've been serving authentic Italian pizza and Italian-American cuisine to our neighbors. Traditional recipes - fresh ingredients.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69D,Bonbino's Pizza Restaurant - Merrick Rd.,516-764-9237,605 Merrick Rd.,Rockville Centre,BonbinosPizza.com,instagram.com/,facebook.com/,Eat & Drink,Eat & Drink,"Family-run spot voted business of the year in past years, food always prepared to order, delivery and catering, open 7 days a week! Peanut/tree-nut free and gluten-free pizza options.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70D,Bonbino's Pizza Restaurant - Lawson Blvd.,516-594-2900,3143 Lawson Blvd.,Oceanside,BonbinosPizza.com,instagram.com/,facebook.com/,Eat & Drink,Eat & Drink,"Family-run spot voted business of the year in past years, food always prepared to order, delivery and catering, open 7 days a week! Peanut/tree-nut free. Gluten-free pizza options. By Dunkin' Donuts. Every day except Monday.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71S,Rolling River Day Camp,516-593-2267,477 Ocean Ave.,East Rockaway,RollingRiver.com,instagram.com/rollingriverdaycamp,facebook.com/rollingriver,Learn & Play,Learn & Play,"Rolling River Day Camp in East Rockaway offers over 40 activities for ages 3–15, serves as a premier party and event venue, and celebrates 34 years of summer fun.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72S,M&T Bank,516-678-1682,12 Atlantic Ave.,Oceanside,MTB.com,instagram.com/,facebook.com/,Live & Work,Live & Work,We make banking easy. More Choices. More possibilities. M&T is committed to the growth and sustainability of the businesses and neighborhoods we serve.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73S,BP Gas & Expert Auto Repair,516-678-5803,160 Davison Ave.,Oceanside,,,,Live & Work,Live & Work,Foreign and domestic expert auto repair. Serving Oceanside for 30 years. Corner of Oceanside Rd.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74D,Reed Channel Marina / Bay Park Marine Service,516-764-2552,3346 Royal Ave.,Oceanside,BayParkMarineService.com,,,Live & Work,Live & Work,We are a family owned and operated full service marina serving boaters for over 40 years dedicated to ensuring more time on the water for customers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75D,The Complete Window,516-868-0806,544 Merrick Rd.,Baldwin,,,,Shop & Discover,Shop & Discover,"We have a wide selection of window treatments.  Custom shutters, shades, drapery, upholstery, and bedding.  Specializing in motorized shades and home automation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76T,Will’s Bagels,516-208-6676,3108 Lawson Blvd.,Oceanside,WillsBagelCafe.com,instagram.com/,facebook.com/,Eat & Drink,Eat & Drink,"Handmade bagels made the old-fashioned way, boiling them in a kettle and baking them fresh every day. We greet our customers with a big smile and great service.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77T,Auto Tech Pitstop,347-433-3740,76 S. Long Beach Rd.,Rockville Centre,AutoTechPitStop.com,instagram.com/autotechpitstop,facebook.com/autotechpitstop,Live & Work,Live & Work,"Auto Tech Pitstop provides dealership-quality auto repair and performance services at fair prices, proudly serving Long Island with trusted mechanics, honest service, and community spirit.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78D,Louisiana Joe’s Sandwich Shop,516-442-9838,488 Merrick Rd.,Oceanside,LouisianaJoes.com,JoloCajun.com,facebook.com/,Eat & Drink,Eat & Drink,"Poboys, gumbos, jambalaya, burgers, salads, sandwiches & more. Eat in or take out. All food made fresh to order. Wine & beer. Catering available.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79D,Marcos Auto Body,516-414-0364,3592 Hampton Rd.,Oceanside,MarcusAutoBodyLLC.com,,facebook.com/marcosautobody,Live & Work,Live & Work,We do all type of work from custom jobs to insurance jobs or any other work you need. Stop by or give us a call - we are here for you!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80D,Forever Diamonds,516-670-0097,42 Atlantic Ave.,Oceanside,ForeverDiamonds.com,instagram.com/foreverdiamondsofoceanside/,,Shop & Discover,Shop & Discover,"We buy gold, diamonds & estate jewelry. Expert jewelry remodeling on premises. Largest selection of G.I.A. certified diamonds. Family owned and operated for over 30 years!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81T,Stonegate Real Estate,516-740-2777,2A Poole St.,Oceanside,StoneGateRE.com,instagram.com/stonegaterealestate,facebook.com/stonegaterealestate,Live & Work,Live & Work,"Founded by Anthony Ponte and Robert Heicklen, our Oceanside boutique firm delivers residential, commercial, and property management services across surrounding areas, prioritizing client relationships and seamless transactions.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82T,Nassau Vision,516-536-5300,3177 Long Beach Rd.,Oceanside,NassauVisionOceanside.com,,,Thrive & Be Well,Thrive & Be Well,"Oldest optical in Oceanside, serving the community since 1976. Providing eyeglasses, contact lenses, and eye care. Accepts all insurance.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83S,Omni Present Investigations,516-323-9827,,Rockville Centre,OmniPresentInvestigations.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"A New York-based private investigations firm delivering discreet, results-driven intelligence for individuals and law firms worldwide--specializing in surveillance, fraud, misconduct, and due diligence.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84T,Sanctuary Hair Collective,516-960-7222,2899 Long Beach Rd.,Oceanside,SanctuaryOceanside.com,instagram.com/thisisyoursanctuary,facebook.com/,Thrive & Be Well,Thrive & Be Well,"A laid-back yet luxury salon experience designed to feel like a short getaway in your busy world. We value self-care, not routine maintenance.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85D,Island Auto Body,516-678-6040,2671 Oceanside Rd.,Oceanside,IslandAB.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"On site services include 24hr flatbed towing, rental vehicles on-site, detail services, and a state of the art color matching laboratory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86S,MJ Thyma Laundromat,516-566-3696,218 Merrick Rd.,Oceanside,,,,Live & Work,Live & Work,"Fresh laundry, fresh smiles! Monday to Saturday: 8AM to 9PM. Closed Sunday. Free pick up and same day delivery. Full Service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
